100026.txt,	Final cells: 889
103283.txt,	Final cells: 903
103284.txt,	Final cells: 45
103285.txt,	Final cells: 2344
103286.txt,	Final cells: 205
103287.txt,	Final cells: 3497
103289.txt,	Final cells: 141
103355.txt,	Final cells: 7156
103356.txt,	Final cells: 16450
103357.txt,	Final cells: 3229
103358.txt,	Final cells: 635
103441.txt,	Final cells: 4636
103455.txt,	Final cells: 342801
103519.txt,	Final cells: 306451
103537.txt,	Final cells: 257588
103538.txt,	Final cells: 118793
1036309.txt,	Final cells: 5611
1036310.txt,	Final cells: 391
1036311.txt,	Final cells: 13284
1036312.txt,	Final cells: 5087
1036313.txt,	Final cells: 5737
1036315.txt,	Final cells: 45951
1036316.txt,	Final cells: 62400
1036317.txt,	Final cells: 40340
1036318.txt,	Final cells: 95388
1036319.txt,	Final cells: 129439
1036320.txt,	Final cells: 40223
1036392.txt,	Final cells: 28086
1036393.txt,	Final cells: 3140
1036394.txt,	Final cells: 3054
1036395.txt,	Final cells: 1842
1036396.txt,	Final cells: 6142
1036398.txt,	Final cells: 31033
1036399.txt,	Final cells: 23747
1036400.txt,	Final cells: 322
1036401.txt,	Final cells: 237949
1036402.txt,	Final cells: 427914
1036403.txt,	Final cells: 1095112
1036428.txt,	Final cells: 66230
1036429.txt,	Final cells: 207852
1036462.txt,	Final cells: 1513
1036464.txt,	Final cells: 25355
1036466.txt,	Final cells: 62613
1036467.txt,	Final cells: 113195
1036468.txt,	Final cells: 38951
1036471.txt,	Final cells: 285744
1036473.txt,	Final cells: 132891
1036650.txt,	Final cells: 5087
1036651.txt,	Final cells: 129439
1036652.txt,	Final cells: 62400
1036653.txt,	Final cells: 30395
1036654.txt,	Final cells: 3797
1036655.txt,	Final cells: 29960
1036656.txt,	Final cells: 49388
1036657.txt,	Final cells: 43766
1036658.txt,	Final cells: 63350
1037019.txt,	Final cells: 7841
1037020.txt,	Final cells: 5330
1037021.txt,	Final cells: 22949
1037022.txt,	Final cells: 17296
1037023.txt,	Final cells: 25893
1037024.txt,	Final cells: 18766
1037025.txt,	Final cells: 7482
1037026.txt,	Final cells: 29929
1037027.txt,	Final cells: 23257
1037028.txt,	Final cells: 38460
1037029.txt,	Final cells: 32771
1037151.txt,	Final cells: 15621
103737.txt,	Final cells: 1542
103742.txt,	Final cells: 23444
103815.txt,	Final cells: 70098
103816.txt,	Final cells: 247184
103817.txt,	Final cells: 82410
103821.txt,	Final cells: 57827
103824.txt,	Final cells: 13152
103825.txt,	Final cells: 13402
103826.txt,	Final cells: 27426
1038432.txt,	Final cells: 1871
1038433.txt,	Final cells: 1060
1038434.txt,	Final cells: 1831
1038435.txt,	Final cells: 15250
1038436.txt,	Final cells: 24738
1038438.txt,	Final cells: 35153
1038439.txt,	Final cells: 49991
1038440.txt,	Final cells: 26723
1038441.txt,	Final cells: 203066
1038442.txt,	Final cells: 3364
1038443.txt,	Final cells: 3238
1038444.txt,	Final cells: 5366
1038445.txt,	Final cells: 140312
1038446.txt,	Final cells: 245594
1039823.txt,	Final cells: 17115
1041418.txt,	Final cells: 1042580
1041419.txt,	Final cells: 1613675
1041432.txt,	Final cells: 2312715
1041448.txt,	Final cells: 2360518
104187.txt,	Final cells: 158621
104188.txt,	Final cells: 140870
104290.txt,	Final cells: 3739
104294.txt,	Final cells: 3904
104301.txt,	Final cells: 7986
1043436.txt,	Final cells: 54366
1043461.txt,	Final cells: 928
1043471.txt,	Final cells: 156441
104400.txt,	Final cells: 19230
104401.txt,	Final cells: 142
104402.txt,	Final cells: 12814
104403.txt,	Final cells: 1252
104404.txt,	Final cells: 30911
104421.txt,	Final cells: 5890
1044251.txt,	Final cells: 1822
1044252.txt,	Final cells: 105892
104431.txt,	Final cells: 39
104432.txt,	Final cells: 4022
104442.txt,	Final cells: 207258
104445.txt,	Final cells: 23
104509.txt,	Final cells: 43684
104510.txt,	Final cells: 37430
104511.txt,	Final cells: 1554
104512.txt,	Final cells: 850
104513.txt,	Final cells: 2831
104559.txt,	Final cells: 231738
104563.txt,	Final cells: 378653
104582.txt,	Final cells: 298283
104606.txt,	Final cells: 659373
104639.txt,	Final cells: 29310
104640.txt,	Final cells: 20393
104644.txt,	Final cells: 37956
104645.txt,	Final cells: 31791
104646.txt,	Final cells: 2912
104647.txt,	Final cells: 75427
104737.txt,	Final cells: 22019
104738.txt,	Final cells: 33722
1047582.txt,	Final cells: 287493
104787.txt,	Final cells: 741823
1047980.txt,	Final cells: 27325
1047981.txt,	Final cells: 33421
104929.txt,	Final cells: 27425
104930.txt,	Final cells: 13003
104968.txt,	Final cells: 29812
104969.txt,	Final cells: 94200
1050061.txt,	Final cells: 31563
105103.txt,	Final cells: 5475
1051177.txt,	Final cells: 282325
1051178.txt,	Final cells: 136050
1051179.txt,	Final cells: 188827
105120.txt,	Final cells: 6681
1051670.txt,	Final cells: 128013
105171.txt,	Final cells: 17360
105174.txt,	Final cells: 140421
105220.txt,	Final cells: 10633
105226.txt,	Final cells: 5661
105230.txt,	Final cells: 3161
105326.txt,	Final cells: 50973
105330.txt,	Final cells: 4619
105335.txt,	Final cells: 71669
105336.txt,	Final cells: 3225
1053374.txt,	Final cells: 2486
1053375.txt,	Final cells: 141483
1053376.txt,	Final cells: 243883
1053377.txt,	Final cells: 186174
1053378.txt,	Final cells: 370418
105338.txt,	Final cells: 3525
1053391.txt,	Final cells: 432576
1053397.txt,	Final cells: 432576
105348.txt,	Final cells: 40160
1053568.txt,	Final cells: 16929
105382.txt,	Final cells: 67248
1053874.txt,	Final cells: 1208
1053875.txt,	Final cells: 445180
105413.txt,	Final cells: 8710
105414.txt,	Final cells: 37077
1054518.txt,	Final cells: 6931
1055250.txt,	Final cells: 1242438
105558.txt,	Final cells: 49120
105559.txt,	Final cells: 14821
105636.txt,	Final cells: 61008
105637.txt,	Final cells: 4643
105662.txt,	Final cells: 107194
105685.txt,	Final cells: 43920
105686.txt,	Final cells: 46416
105687.txt,	Final cells: 3042
105688.txt,	Final cells: 4592
105690.txt,	Final cells: 82352
1056913.txt,	Final cells: 12236
105691.txt,	Final cells: 3803
105692.txt,	Final cells: 1012
105693.txt,	Final cells: 373103
105695.txt,	Final cells: 6970
105696.txt,	Final cells: 306
105761.txt,	Final cells: 142043
105762.txt,	Final cells: 176320
105765.txt,	Final cells: 38352
105799.txt,	Final cells: 133411
105803.txt,	Final cells: 133
105804.txt,	Final cells: 2669
105805.txt,	Final cells: 30007
105857.txt,	Final cells: 63897
105858.txt,	Final cells: 103095
105859.txt,	Final cells: 38231
105860.txt,	Final cells: 34843
105861.txt,	Final cells: 66554
105862.txt,	Final cells: 74140
105863.txt,	Final cells: 57627
105864.txt,	Final cells: 89613
105865.txt,	Final cells: 137948
105866.txt,	Final cells: 101650
105867.txt,	Final cells: 101614
105875.txt,	Final cells: 16239
105924.txt,	Final cells: 12528
105925.txt,	Final cells: 6994
1059578.txt,	Final cells: 174534
1059579.txt,	Final cells: 416682
106037.txt,	Final cells: 243571
106039.txt,	Final cells: 1061
106040.txt,	Final cells: 175530
106090.txt,	Final cells: 15541
106100.txt,	Final cells: 89105
106146.txt,	Final cells: 9959
106327.txt,	Final cells: 137273
106337.txt,	Final cells: 2067925
106368.txt,	Final cells: 19250
106370.txt,	Final cells: 269168
1063851.txt,	Final cells: 171104
1063852.txt,	Final cells: 218216
1063853.txt,	Final cells: 27578
1063854.txt,	Final cells: 30170
1063855.txt,	Final cells: 306205
1063856.txt,	Final cells: 149748
1063857.txt,	Final cells: 84242
1063858.txt,	Final cells: 7076
1063859.txt,	Final cells: 1066780
1063860.txt,	Final cells: 1523011
1063861.txt,	Final cells: 310835
1063862.txt,	Final cells: 97990
1063863.txt,	Final cells: 1085777
1063864.txt,	Final cells: 3062568
1063865.txt,	Final cells: 738368
1063866.txt,	Final cells: 1172630
1063944.txt,	Final cells: 84566
1064115.txt,	Final cells: 4754
1064467.txt,	Final cells: 57417
1064469.txt,	Final cells: 22379
1064655.txt,	Final cells: 18072
1064679.txt,	Final cells: 302099
1064680.txt,	Final cells: 442739
1064681.txt,	Final cells: 1066315
1064682.txt,	Final cells: 3590088
1064683.txt,	Final cells: 1138850
1065030.txt,	Final cells: 83295
1065031.txt,	Final cells: 227038
1065032.txt,	Final cells: 601242
106557.txt,	Final cells: 98712
106558.txt,	Final cells: 40738
106559.txt,	Final cells: 47799
106610.txt,	Final cells: 1051211
106611.txt,	Final cells: 1166655
106619.txt,	Final cells: 166091
106620.txt,	Final cells: 202749
106681.txt,	Final cells: 14154
106683.txt,	Final cells: 3527
1066896.txt,	Final cells: 1846
1066897.txt,	Final cells: 1680
1066898.txt,	Final cells: 2857
1066899.txt,	Final cells: 2570
1066900.txt,	Final cells: 4107
1066901.txt,	Final cells: 3181
106705.txt,	Final cells: 3289
106725.txt,	Final cells: 1124
106777.txt,	Final cells: 5334
106778.txt,	Final cells: 3648
106779.txt,	Final cells: 4046
106780.txt,	Final cells: 5828
106781.txt,	Final cells: 4838
106782.txt,	Final cells: 4261
106783.txt,	Final cells: 4018
106784.txt,	Final cells: 7522
106785.txt,	Final cells: 4459
106786.txt,	Final cells: 7533
106787.txt,	Final cells: 3737
106788.txt,	Final cells: 4857
106789.txt,	Final cells: 3534
106830.txt,	Final cells: 59824
106831.txt,	Final cells: 28924
106833.txt,	Final cells: 54108
106838.txt,	Final cells: 86827
106839.txt,	Final cells: 46963
106840.txt,	Final cells: 46963
106841.txt,	Final cells: 3010
106842.txt,	Final cells: 24133
106884.txt,	Final cells: 30493
1069352.txt,	Final cells: 46377
106950.txt,	Final cells: 345559
107007.txt,	Final cells: 8764
107008.txt,	Final cells: 15098
107041.txt,	Final cells: 34511
107046.txt,	Final cells: 219
107066.txt,	Final cells: 10516
107067.txt,	Final cells: 4200
107068.txt,	Final cells: 2813
107069.txt,	Final cells: 24550
107070.txt,	Final cells: 17884
107071.txt,	Final cells: 10146
107100.txt,	Final cells: 30550
107148.txt,	Final cells: 81040
107149.txt,	Final cells: 4994
1071710.txt,	Final cells: 730
107202.txt,	Final cells: 18453
107294.txt,	Final cells: 20699
107295.txt,	Final cells: 56683
107389.txt,	Final cells: 10923
107390.txt,	Final cells: 4167
107391.txt,	Final cells: 3616
107392.txt,	Final cells: 1451
1073930.txt,	Final cells: 84295
107402.txt,	Final cells: 3604
107434.txt,	Final cells: 5328
107436.txt,	Final cells: 9541
107437.txt,	Final cells: 22936
107438.txt,	Final cells: 29721
107439.txt,	Final cells: 2645
107440.txt,	Final cells: 67785
107445.txt,	Final cells: 4592
107543.txt,	Final cells: 1693633
107544.txt,	Final cells: 8334
1075455.txt,	Final cells: 2175
1075456.txt,	Final cells: 1956
1075457.txt,	Final cells: 15009
1075458.txt,	Final cells: 33871
107545.txt,	Final cells: 1602300
107554.txt,	Final cells: 1868855
107558.txt,	Final cells: 3042
107586.txt,	Final cells: 13482
107587.txt,	Final cells: 101494
107909.txt,	Final cells: 23297
107910.txt,	Final cells: 231655
1079827.txt,	Final cells: 106950
1079828.txt,	Final cells: 228
108000.txt,	Final cells: 446964
108005.txt,	Final cells: 375982
108010.txt,	Final cells: 60095
1080330.txt,	Final cells: 84473
1080515.txt,	Final cells: 63903
1080516.txt,	Final cells: 60524
1081358.txt,	Final cells: 143196
108147.txt,	Final cells: 361447
108199.txt,	Final cells: 6161
1082149.txt,	Final cells: 4014
1082231.txt,	Final cells: 39706
108292.txt,	Final cells: 12882
108293.txt,	Final cells: 5721
108312.txt,	Final cells: 395700
108313.txt,	Final cells: 969
108319.txt,	Final cells: 1348
108321.txt,	Final cells: 1814
108322.txt,	Final cells: 845
108327.txt,	Final cells: 51106
108328.txt,	Final cells: 1432
108329.txt,	Final cells: 2788
108330.txt,	Final cells: 1808
108331.txt,	Final cells: 18453
108332.txt,	Final cells: 2138
1083348.txt,	Final cells: 11526
1083349.txt,	Final cells: 34862
108334.txt,	Final cells: 1296
1083350.txt,	Final cells: 4555
1083351.txt,	Final cells: 16511
1083352.txt,	Final cells: 18365
1083353.txt,	Final cells: 2709
1083354.txt,	Final cells: 8247
1083355.txt,	Final cells: 168651
108335.txt,	Final cells: 1431
108336.txt,	Final cells: 31999
108337.txt,	Final cells: 2354
108338.txt,	Final cells: 1118
108339.txt,	Final cells: 26391
108340.txt,	Final cells: 9620
108341.txt,	Final cells: 4050
108446.txt,	Final cells: 25573
108447.txt,	Final cells: 23925
108451.txt,	Final cells: 53962
108452.txt,	Final cells: 53185
108482.txt,	Final cells: 73826
108517.txt,	Final cells: 1656
108518.txt,	Final cells: 1659
108521.txt,	Final cells: 46488
1085684.txt,	Final cells: 467100
1085685.txt,	Final cells: 180274
1085686.txt,	Final cells: 152407
108578.txt,	Final cells: 121236
108579.txt,	Final cells: 129569
108613.txt,	Final cells: 5851
108616.txt,	Final cells: 396
108617.txt,	Final cells: 15916
108618.txt,	Final cells: 762
108619.txt,	Final cells: 2514
108620.txt,	Final cells: 766
108693.txt,	Final cells: 1588
1087135.txt,	Final cells: 34410
108771.txt,	Final cells: 212151
108785.txt,	Final cells: 90554
1088224.txt,	Final cells: 47466
108858.txt,	Final cells: 13651
108884.txt,	Final cells: 120895
109014.txt,	Final cells: 23911
109015.txt,	Final cells: 336219
109021.txt,	Final cells: 23915
109086.txt,	Final cells: 17698
109087.txt,	Final cells: 8768
109088.txt,	Final cells: 67084
109089.txt,	Final cells: 140081
109090.txt,	Final cells: 95608
109091.txt,	Final cells: 152742
109109.txt,	Final cells: 81902
109118.txt,	Final cells: 90458
109130.txt,	Final cells: 32259
109131.txt,	Final cells: 38607
109132.txt,	Final cells: 59649
109136.txt,	Final cells: 266
109138.txt,	Final cells: 287
109176.txt,	Final cells: 3217
1093113.txt,	Final cells: 1800
1093114.txt,	Final cells: 5191
1093140.txt,	Final cells: 356842
109344.txt,	Final cells: 9517
1093600.txt,	Final cells: 226360
109374.txt,	Final cells: 31101
109375.txt,	Final cells: 406
109414.txt,	Final cells: 2330
109458.txt,	Final cells: 10808
109459.txt,	Final cells: 12990
1095206.txt,	Final cells: 6273
1095207.txt,	Final cells: 8901
1095208.txt,	Final cells: 6323
1095209.txt,	Final cells: 6108
1095210.txt,	Final cells: 12605
1095211.txt,	Final cells: 12748
109572.txt,	Final cells: 136917
109575.txt,	Final cells: 56046
109576.txt,	Final cells: 668731
109729.txt,	Final cells: 3244
109730.txt,	Final cells: 138
109772.txt,	Final cells: 27746
109773.txt,	Final cells: 1396589
1097847.txt,	Final cells: 361202
1097848.txt,	Final cells: 326005
109923.txt,	Final cells: 11249
109925.txt,	Final cells: 466
109926.txt,	Final cells: 4368
1099667.txt,	Final cells: 42012
1099668.txt,	Final cells: 52849
1099669.txt,	Final cells: 58503
1099670.txt,	Final cells: 55879
1099671.txt,	Final cells: 53148
1099672.txt,	Final cells: 5500
110009.txt,	Final cells: 27003
110025.txt,	Final cells: 33241
110026.txt,	Final cells: 63520
110027.txt,	Final cells: 61730
110028.txt,	Final cells: 2760
110029.txt,	Final cells: 2154
110030.txt,	Final cells: 5700
110031.txt,	Final cells: 5616
110038.txt,	Final cells: 8395
110042.txt,	Final cells: 4799
110044.txt,	Final cells: 43731
110047.txt,	Final cells: 43124
110131.txt,	Final cells: 19898
110132.txt,	Final cells: 264452
110172.txt,	Final cells: 3987
110173.txt,	Final cells: 354
110201.txt,	Final cells: 1128
110202.txt,	Final cells: 5596
110203.txt,	Final cells: 10121
110204.txt,	Final cells: 2818
110205.txt,	Final cells: 9224
110207.txt,	Final cells: 3530
110209.txt,	Final cells: 5573
110211.txt,	Final cells: 2052
110213.txt,	Final cells: 9196
1102667.txt,	Final cells: 117409
110353.txt,	Final cells: 135355
110356.txt,	Final cells: 8877
110357.txt,	Final cells: 23031
110358.txt,	Final cells: 10410
110370.txt,	Final cells: 10337
110371.txt,	Final cells: 31003
110372.txt,	Final cells: 18461
110373.txt,	Final cells: 15041
110374.txt,	Final cells: 12222
110375.txt,	Final cells: 6236
110378.txt,	Final cells: 82848
1103938.txt,	Final cells: 3990
1103939.txt,	Final cells: 128242
110444.txt,	Final cells: 15719
110445.txt,	Final cells: 655
110457.txt,	Final cells: 2049
110699.txt,	Final cells: 313662
110703.txt,	Final cells: 9463
110707.txt,	Final cells: 13414
110709.txt,	Final cells: 16755
110710.txt,	Final cells: 10233
110711.txt,	Final cells: 3384
110713.txt,	Final cells: 173809
110714.txt,	Final cells: 172869
110715.txt,	Final cells: 21
110716.txt,	Final cells: 41525
110717.txt,	Final cells: 51072
110718.txt,	Final cells: 4975
110719.txt,	Final cells: 1528
110720.txt,	Final cells: 4179
110721.txt,	Final cells: 5085
110722.txt,	Final cells: 28102
110723.txt,	Final cells: 3372
110725.txt,	Final cells: 70473
110780.txt,	Final cells: 22688
110781.txt,	Final cells: 6638
110782.txt,	Final cells: 8048
110785.txt,	Final cells: 14941
110786.txt,	Final cells: 7082
110787.txt,	Final cells: 5931
110792.txt,	Final cells: 22130
110793.txt,	Final cells: 6138
110794.txt,	Final cells: 9945
110795.txt,	Final cells: 4072
110796.txt,	Final cells: 1714
110801.txt,	Final cells: 4072
110802.txt,	Final cells: 9945
110803.txt,	Final cells: 1714
110834.txt,	Final cells: 874
110836.txt,	Final cells: 31025
110837.txt,	Final cells: 4466
110904.txt,	Final cells: 217554
110905.txt,	Final cells: 2462
110906.txt,	Final cells: 5726
110907.txt,	Final cells: 7176
110908.txt,	Final cells: 7232
110909.txt,	Final cells: 4195
110910.txt,	Final cells: 11155
110911.txt,	Final cells: 8838
110912.txt,	Final cells: 91104
110919.txt,	Final cells: 6791
110928.txt,	Final cells: 30951
110934.txt,	Final cells: 36159
110950.txt,	Final cells: 18714
110955.txt,	Final cells: 43577
1109707.txt,	Final cells: 16709
110980.txt,	Final cells: 34206
110995.txt,	Final cells: 207603
110998.txt,	Final cells: 25570
111006.txt,	Final cells: 12395
111008.txt,	Final cells: 919
111009.txt,	Final cells: 1327
111010.txt,	Final cells: 1962
111011.txt,	Final cells: 6379
111013.txt,	Final cells: 42
111021.txt,	Final cells: 7183
111046.txt,	Final cells: 4857
111048.txt,	Final cells: 11513
111170.txt,	Final cells: 2291795
111240.txt,	Final cells: 236620
111261.txt,	Final cells: 144420
111388.txt,	Final cells: 3001
111394.txt,	Final cells: 477
111399.txt,	Final cells: 20157
111400.txt,	Final cells: 2691
111402.txt,	Final cells: 12322
111403.txt,	Final cells: 5985
111404.txt,	Final cells: 13536
111416.txt,	Final cells: 10653
111551.txt,	Final cells: 5460
111552.txt,	Final cells: 294
111587.txt,	Final cells: 5977
111588.txt,	Final cells: 8139
111599.txt,	Final cells: 68851
111622.txt,	Final cells: 20134
111623.txt,	Final cells: 24929
111624.txt,	Final cells: 20287
111625.txt,	Final cells: 25171
111626.txt,	Final cells: 20409
111629.txt,	Final cells: 24888
111873.txt,	Final cells: 404877
111875.txt,	Final cells: 411061
111876.txt,	Final cells: 335390
111878.txt,	Final cells: 290401
111959.txt,	Final cells: 240158
1120760.txt,	Final cells: 4251
1120761.txt,	Final cells: 2200
1120762.txt,	Final cells: 468
1120763.txt,	Final cells: 1254
1120764.txt,	Final cells: 28885
1120765.txt,	Final cells: 24538
1120766.txt,	Final cells: 728
1120767.txt,	Final cells: 1486
1120768.txt,	Final cells: 5384
1120769.txt,	Final cells: 7250
1120770.txt,	Final cells: 3842
1120771.txt,	Final cells: 7557
1120772.txt,	Final cells: 1483
1120773.txt,	Final cells: 4861
1120774.txt,	Final cells: 5388
1120775.txt,	Final cells: 656
1120776.txt,	Final cells: 1577
1120777.txt,	Final cells: 558
1120778.txt,	Final cells: 33014
1120779.txt,	Final cells: 762
1120780.txt,	Final cells: 29289
112230.txt,	Final cells: 29235
112333.txt,	Final cells: 22795
112419.txt,	Final cells: 874949
112420.txt,	Final cells: 17748
112421.txt,	Final cells: 45385
112423.txt,	Final cells: 460335
1124376.txt,	Final cells: 85990
112530.txt,	Final cells: 633689
112531.txt,	Final cells: 204489
112532.txt,	Final cells: 38527
112534.txt,	Final cells: 540678
112535.txt,	Final cells: 364991
112536.txt,	Final cells: 402558
112537.txt,	Final cells: 357846
112539.txt,	Final cells: 5517
112540.txt,	Final cells: 11650
112541.txt,	Final cells: 17544
112542.txt,	Final cells: 10394
112543.txt,	Final cells: 938004
112544.txt,	Final cells: 53159
112545.txt,	Final cells: 1091882
112546.txt,	Final cells: 150785
112548.txt,	Final cells: 708164
